Index/variant_no	Tigress Combinations
1	switch goto top
2	switch goto block
3	switch goto deep
4	switch goto recursive
5	switch goto level
6	switch goto inside
7	direct goto top
8	direct goto block
9	direct goto deep
10	direct goto recursive
11	direct goto level
12	direct goto inside
13	indirect goto top
14	indirect goto block
15	indirect goto deep
16	indirect goto recursive
17	indirect goto level
18	indirect goto inside
19	call goto top
20	call goto block
21	call goto deep
22	call goto recursive
23	call goto level
24	call goto inside
25	ifnest goto top
26	ifnest goto block
27	ifnest goto deep
28	ifnest goto recursive
29	ifnest goto level
30	ifnest goto inside
31	linear goto top
32	linear goto block
33	linear goto deep
34	linear goto recursive
35	linear goto level
36	linear goto inside
37	binary goto top
38	binary goto block
39	binary goto deep
40	binary goto recursive
41	binary goto level
42	binary goto inside
43	interpolation goto top
44	interpolation goto block
45	interpolation goto deep
46	interpolation goto recursive
47	interpolation goto level
48	interpolation goto inside
